,Details
2937,"Mieszkanie, Poznań, Piątkowo, 86 m²Stan: Innyzakończona24 September 2024 o godzinie 11:55:47779 000,00złZobacz aktualne oferty"
2938,"Mieszkanie, Poznań, Jeżyce, 59 m²Stan: Innyzakończona24 September 2024 o godzinie 11:34:492900,00złZobacz aktualne oferty"
2939,"Dom, Poznań, Morasko-Radojewo, 86 m²Stan: Innyzakończona24 September 2024 o godzinie 11:29:40779 000,00złZobacz aktualne oferty"
2940,"Dom, Poznań, Piątkowo, 86 m²Stan: Innyzakończona24 September 2024 o godzinie 11:29:39779 000,00złZobacz aktualne oferty"
2941,"Dom, Poznań, 107 m²Stan: Innyzakończona24 September 2024 o godzinie 11:22:434699,00złZobacz aktualne oferty"
2942,"Mieszkanie, Poznań, Winogrady, 98 m²Stan: Innyzakończona24 September 2024 o godzinie 11:21:441 325 565,00złZobacz aktualne oferty"
2943,"Mieszkanie, Poznań, Winogrady, 31 m²Stan: Innyzakończona24 September 2024 o godzinie 11:21:42409 506,00złZobacz aktualne oferty"
2944,"Mieszkanie, Poznań, Winogrady, 50 m²Stan: Innyzakończona24 September 2024 o godzinie 11:21:41688 482,00złZobacz aktualne oferty"
2945,"Mieszkanie, Poznań, Grunwald, 58 m²Stan: Innyzakończona24 September 2024 o godzinie 11:16:544000,00złZobacz aktualne oferty"
2946,"Mieszkanie, Poznań, Piątkowo, 27 m²Stan: Innyzakończona24 September 2024 o godzinie 11:04:02335 000,00złZobacz aktualne oferty"
2947,"Mieszkanie, Poznań, Łazarz, 26 m²Stan: Innyzakończona24 September 2024 o godzinie 10:19:06329 000,00złZobacz aktualne oferty"
2948,"Biuro, Poznań, Jeżyce, 77 m²Stan: Innyzakończona24 September 2024 o godzinie 10:19:04499 000,00złZobacz aktualne oferty"
2949,"Mieszkanie, Poznań, Górczyn, 50 m²Stan: Innyzakończona24 September 2024 o godzinie 10:19:042100,00złZobacz aktualne oferty"
2950,"Mieszkanie, Poznań, Dębiec, 46 m²Stan: Innyzakończona24 September 2024 o godzinie 10:19:032000,00złZobacz aktualne oferty"
2951,"Komercyjne, Poznań, Jeżyce, 77 m²Stan: Innyzakończona24 September 2024 o godzinie 10:07:14480 000,00złZobacz aktualne oferty"
2952,"Biuro, Poznań, Jeżyce, 64 m²Stan: Innyzakończona24 September 2024 o godzinie 10:07:12399 000,00złZobacz aktualne oferty"
2953,"Mieszkanie, Poznań, 20 m²Stan: Innyzakończona24 September 2024 o godzinie 10:06:521700,00złZobacz aktualne oferty"
2954,"Biuro, Poznań, Górczyn, 231 m²Stan: Innyzakończona24 September 2024 o godzinie 02:23:3010 010,00złZobacz aktualne oferty"
2955,"Dom, Poznań, 239 m²Stan: Innyzakończona24 September 2024 o godzinie 00:26:341 200 000,00złZobacz aktualne oferty"
2956,"Dom, Poznań, Winogrady, 298 m²Stan: Innyzakończona23 September 2024 o godzinie 23:01:431 600 000,00złZobacz aktualne oferty"
2957,"Mieszkanie, Poznań, Stare Miasto, 17 m²Stan: Innyzakończona23 September 2024 o godzinie 23:01:421400,00złZobacz aktualne oferty"
2958,"Mieszkanie, Poznań, Łazarz, 64 m²Stan: Innyzakończona23 September 2024 o godzinie 23:01:42720 000,00złZobacz aktualne oferty"
2959,"Mieszkanie, Poznań, Ogrody, 46 m²Stan: Innyzakończona23 September 2024 o godzinie 23:01:422000,00złZobacz aktualne oferty"
2960,"Mieszkanie, Poznań, Łazarz, 60 m²Stan: Innyzakończona23 September 2024 o godzinie 23:01:422300,00złZobacz aktualne oferty"
2961,"Mieszkanie, Poznań, Centrum, 25 m²Stan: Innyzakończona23 September 2024 o godzinie 22:50:541800,00złZobacz aktualne oferty"
2962,"Mieszkanie, Poznań, Grunwald, 73 m²Stan: Innyzakończona23 September 2024 o godzinie 17:31:121 149 000,00złZobacz aktualne oferty"
2963,"Mieszkanie, Poznań, Grunwald, 54 m²Stan: Innyzakończona23 September 2024 o godzinie 16:54:542850,00złZobacz aktualne oferty"
2964,"Mieszkanie, Poznań, Grunwald, 42 m²Stan: Innyzakończona23 September 2024 o godzinie 16:28:57739 000,00złZobacz aktualne oferty"
2965,"Pokój, Poznań, Rataje, 9 m²Stan: Innyzakończona23 September 2024 o godzinie 16:05:40690,00złZobacz aktualne oferty"
2966,"Mieszkanie, Poznań, Piątkowo, 61 m²Stan: Innyzakończona23 September 2024 o godzinie 15:36:32704 950,00złZobacz aktualne oferty"
2967,"Dom, Poznań, Jeżyce, 287 m²Stan: Innyzakończona23 September 2024 o godzinie 14:31:012 500 000,00złZobacz aktualne oferty"
2968,"Mieszkanie, Poznań, Jeżyce, 43 m²Stan: Innyzakończona23 September 2024 o godzinie 14:30:38434 000,00złZobacz aktualne oferty"
2969,"Mieszkanie, Poznań, Jeżyce, 72 m²Stan: Innyzakończona23 September 2024 o godzinie 14:18:30780 000,00złZobacz aktualne oferty"
2970,"Mieszkanie, Poznań, Stare Miasto, 370 m²Stan: Innyzakończona23 September 2024 o godzinie 13:56:295 493 900,00złZobacz aktualne oferty"
2971,"Mieszkanie, Poznań, Junikowo, 65 m²Stan: Innyzakończona23 September 2024 o godzinie 12:57:101 020 000,00złZobacz aktualne oferty"
2972,"Mieszkanie, Poznań, Nowe Miasto, 39 m²Stan: Innyzakończona23 September 2024 o godzinie 12:04:20446 200,00złZobacz aktualne oferty"
2973,"Mieszkanie, Poznań, Rataje, 39 m²Stan: Innyzakończona23 September 2024 o godzinie 10:58:02468 000,00złZobacz aktualne oferty"
2974,"Mieszkanie, Poznań, Piątkowo, 63 m²Stan: Innyzakończona23 September 2024 o godzinie 10:28:28709 000,00złZobacz aktualne oferty"
2975,"Mieszkanie, Poznań, Centrum, 38 m²Stan: Innyzakończona23 September 2024 o godzinie 10:17:182400,00złZobacz aktualne oferty"
2976,"Mieszkanie, Poznań, 94 m²Stan: Innyzakończona23 September 2024 o godzinie 10:17:11900,00złZobacz aktualne oferty"
2977,"Mieszkanie, Poznań, Piątkowo, 62 m²Stan: Innyzakończona23 September 2024 o godzinie 09:16:07649 000,00złZobacz aktualne oferty"
2978,"Mieszkanie, Poznań, Grunwald, 25 m²Stan: Innyzakończona23 September 2024 o godzinie 02:13:362400,00złZobacz aktualne oferty"
2979,"Magazyny i hale, Poznań, 3500 m²Stan: Innyzakończona22 September 2024 o godzinie 17:20:0662 916,00złZobacz aktualne oferty"
2980,"Mieszkanie, Poznań, Wilda, 91 m²Stan: Innyzakończona22 September 2024 o godzinie 15:29:37739 000,00złZobacz aktualne oferty"
2981,"Mieszkanie, Poznań, Naramowice, 41 m²Stan: Innyzakończona22 September 2024 o godzinie 13:02:46477 905,00złZobacz aktualne oferty"
2982,"Mieszkanie, Poznań, Naramowice, 28 m²Stan: Innyzakończona22 September 2024 o godzinie 13:02:46322 599,00złZobacz aktualne oferty"
2983,"Mieszkanie, Poznań, Jeżyce, 39 m²Stan: Innyzakończona22 September 2024 o godzinie 13:02:46499 999,00złZobacz aktualne oferty"
2984,"Mieszkanie, Poznań, Winogrady, 31 m²Stan: Innyzakończona22 September 2024 o godzinie 12:03:29399 990,00złZobacz aktualne oferty"
2985,"Mieszkanie, Poznań, Grunwald, 55 m²Stan: Innyzakończona22 September 2024 o godzinie 12:03:28737 760,00złZobacz aktualne oferty"
2986,"Mieszkanie, Poznań, Nowe Miasto, 45 m²Stan: Innyzakończona22 September 2024 o godzinie 12:03:26561 990,00złZobacz aktualne oferty"
2987,"Mieszkanie, Poznań, Stare Miasto, 42 m²Stan: Innyzakończona22 September 2024 o godzinie 12:03:24489 650,00złZobacz aktualne oferty"
2988,"Mieszkanie, Poznań, Jeżyce, 91 m²Stan: Innyzakończona22 September 2024 o godzinie 11:35:26916 265,00złZobacz aktualne oferty"
2989,"Mieszkanie, Poznań, Naramowice, 43 m²Stan: Innyzakończona22 September 2024 o godzinie 10:54:24578 000,00złZobacz aktualne oferty"
2990,"Mieszkanie, Poznań, Naramowice, 54 m²Stan: Innyzakończona22 September 2024 o godzinie 10:54:24649 500,00złZobacz aktualne oferty"
2991,"Magazyny i hale, Poznań, 1197 m²Stan: Innyzakończona21 September 2024 o godzinie 18:17:282 150 000,00złZobacz aktualne oferty"
2992,"Pokój, Poznań, 12 m²Stan: Innyzakończona21 September 2024 o godzinie 16:49:55490,00złZobacz aktualne oferty"
2993,"Mieszkanie, Poznań, Rataje, 56 m²Stan: Innyzakończona21 September 2024 o godzinie 15:15:42749 000,00złZobacz aktualne oferty"
2994,"Mieszkanie, Poznań, Chartowo, 79 m²Stan: Innyzakończona21 September 2024 o godzinie 15:06:23680 000,00złZobacz aktualne oferty"
2995,"Mieszkanie, Poznań, Winogrady, 38 m²Stan: Innyzakończona21 September 2024 o godzinie 14:57:29539 000,00złZobacz aktualne oferty"
2996,"Mieszkanie, Poznań, Wilda, 27 m²Stan: Innyzakończona21 September 2024 o godzinie 12:07:361750,00złZobacz aktualne oferty"
2997,"Mieszkanie, Poznań, Winogrady, 13 m²Stan: Innyzakończona21 September 2024 o godzinie 12:07:36750,00złZobacz aktualne oferty"
2998,"Garaż, Poznań, 16 m²Stan: Innyzakończona21 September 2024 o godzinie 09:55:45250,00złZobacz aktualne oferty"
2999,"Działka, Poznań, Morasko-Radojewo, 2109 m²Stan: Innyzakończona21 September 2024 o godzinie 09:42:38699 000,00złZobacz aktualne oferty"
3000,"Mieszkanie, Poznań, Łazarz, 60 m²Stan: Innyzakończona21 September 2024 o godzinie 07:19:022500,00złZobacz aktualne oferty"
3001,"Mieszkanie, Poznań, Jeżyce, 46 m²Stan: Innyzakończona21 September 2024 o godzinie 00:00:03487 000,00złZobacz aktualne oferty"
3002,"Dom, Poznań, 240 m²Stan: Innyzakończona20 September 2024 o godzinie 22:11:181 400 000,00złZobacz aktualne oferty"
3003,"Mieszkanie, Poznań, Piątkowo, 32 m²Stan: Innyzakończona20 September 2024 o godzinie 21:58:562000,00złZobacz aktualne oferty"
3004,"Garaż, Poznań, Grunwald, 10 m²Stan: Innyzakończona20 September 2024 o godzinie 20:09:54250,00złZobacz aktualne oferty"
3005,"Dom, Poznań, 187 m²Stan: Innyzakończona20 September 2024 o godzinie 19:50:011 590 000,00złZobacz aktualne oferty"
3006,"Mieszkanie, Poznań, Rataje, 40 m²Stan: Innyzakończona20 September 2024 o godzinie 19:01:37500 000,00złZobacz aktualne oferty"
3007,"Mieszkanie, Poznań, Stare Miasto, 38 m²Stan: Innyzakończona20 September 2024 o godzinie 19:01:37570 000,00złZobacz aktualne oferty"
3008,"Mieszkanie, Poznań, Rataje, 42 m²Stan: Innyzakończona20 September 2024 o godzinie 19:01:36530 000,00złZobacz aktualne oferty"
3009,"Mieszkanie, Poznań, Jeżyce, 40 m²Stan: Innyzakończona20 September 2024 o godzinie 19:01:36530 000,00złZobacz aktualne oferty"
3010,"Mieszkanie, Poznań, Rataje, 52 m²Stan: Innyzakończona20 September 2024 o godzinie 19:01:36550 000,00złZobacz aktualne oferty"
3011,"Mieszkanie, Poznań, Jeżyce, 32 m²Stan: Innyzakończona20 September 2024 o godzinie 19:01:36415 000,00złZobacz aktualne oferty"
3012,"Mieszkanie, Poznań, Grunwald, 26 m²Stan: Innyzakończona20 September 2024 o godzinie 19:01:36399 000,00złZobacz aktualne oferty"
3013,"Mieszkanie, Poznań, Jeżyce, 62 m²Stan: Innyzakończona20 September 2024 o godzinie 19:01:36690 000,00złZobacz aktualne oferty"
3014,"Mieszkanie, Poznań, Rataje, 37 m²Stan: Innyzakończona20 September 2024 o godzinie 19:01:36500 000,00złZobacz aktualne oferty"
3015,"Mieszkanie, Poznań, Grunwald, 50 m²Stan: Innyzakończona20 September 2024 o godzinie 19:01:35690 000,00złZobacz aktualne oferty"
3016,"Mieszkanie, Poznań, Grunwald, 52 m²Stan: Innyzakończona20 September 2024 o godzinie 19:01:35842 000,00złZobacz aktualne oferty"
3017,"Mieszkanie, Poznań, Jeżyce, 34 m²Stan: Innyzakończona20 September 2024 o godzinie 19:01:35440 000,00złZobacz aktualne oferty"
3018,"Mieszkanie, Poznań, Piątkowo, 53 m²Stan: Innyzakończona20 September 2024 o godzinie 18:48:26594 999,00złZobacz aktualne oferty"
3019,"Mieszkanie, Poznań, Jeżyce, 74 m²Stan: Innyzakończona20 September 2024 o godzinie 16:01:401 499 000,00złZobacz aktualne oferty"
3020,"Mieszkanie, Poznań, Piątkowo, 33 m²Stan: Innyzakończona20 September 2024 o godzinie 15:43:20419 000,00złZobacz aktualne oferty"
3021,"Mieszkanie, Poznań, Nowe Miasto, 26 m²Stan: Innyzakończona20 September 2024 o godzinie 14:01:50316 565,00złZobacz aktualne oferty"
3022,"Dom, Poznań, Grunwald, 95 m²Stan: Innyzakończona20 September 2024 o godzinie 12:19:065500,00złZobacz aktualne oferty"
3023,"Lokal usługowy, Poznań, 71 m²Stan: Innyzakończona20 September 2024 o godzinie 11:52:393900,00złZobacz aktualne oferty"
3024,"Mieszkanie, Poznań, Wilda, 90 m²Stan: Innyzakończona20 September 2024 o godzinie 10:16:57889 000,00złZobacz aktualne oferty"
3025,"Mieszkanie, Poznań, Stare Miasto, 98 m²Stan: Innyzakończona20 September 2024 o godzinie 00:32:141 277 380,00złZobacz aktualne oferty"
3026,"Działka, Poznań, Morasko-Radojewo, 1005 m²Stan: Innyzakończona20 September 2024 o godzinie 00:29:00850 000,00złZobacz aktualne oferty"
3027,"Komercyjne, Poznań, Jeżyce, 87 m²Stan: Innyzakończona20 September 2024 o godzinie 00:04:182623,00złZobacz aktualne oferty"
3028,"Komercyjne, Poznań, Jeżyce, 47 m²Stan: Innyzakończona20 September 2024 o godzinie 00:04:181500,00złZobacz aktualne oferty"
3029,"Dom, Poznań, Nowe Miasto, 133 m²Stan: Innyzakończona20 September 2024 o godzinie 00:04:16990 000,00złZobacz aktualne oferty"
3030,"Mieszkanie, Poznań, Grunwald, 34 m²Stan: Innyzakończona19 September 2024 o godzinie 22:36:101990,00złZobacz aktualne oferty"
3031,"Mieszkanie, Poznań, Naramowice, 31 m²Stan: Innyzakończona19 September 2024 o godzinie 21:30:392200,00złZobacz aktualne oferty"
3032,"Działka, Poznań, Górczyn, 412 m²Stan: Innyzakończona19 September 2024 o godzinie 20:59:08649 000,00złZobacz aktualne oferty"
3033,"Mieszkanie, Poznań, Wilda, 143 m²Stan: Innyzakończona19 September 2024 o godzinie 19:22:301 290 510,00złZobacz aktualne oferty"
3034,"Mieszkanie, Poznań, Piątkowo, 63 m²Stan: Innyzakończona19 September 2024 o godzinie 17:19:402900,00złZobacz aktualne oferty"
3035,"Mieszkanie, Poznań, 74 m²Stan: Innyzakończona19 September 2024 o godzinie 17:06:22730 000,00złZobacz aktualne oferty"
3036,"Dom, Poznań, Junikowo, 202 m²Stan: Innyzakończona19 September 2024 o godzinie 16:03:301 189 000,00złZobacz aktualne oferty"
3037,"Mieszkanie, Poznań, Łazarz, 22 m²Stan: Innyzakończona19 September 2024 o godzinie 15:39:131800,00złZobacz aktualne oferty"
3038,"Mieszkanie, Poznań, Jeżyce, 30 m²Stan: Innyzakończona19 September 2024 o godzinie 15:25:59450 000,00złZobacz aktualne oferty"
3039,"Mieszkanie, Poznań, Rataje, 72 m²Stan: Innyzakończona19 September 2024 o godzinie 15:25:59999 000,00złZobacz aktualne oferty"
3040,"Mieszkanie, Poznań, Grunwald, 69 m²Stan: Innyzakończona19 September 2024 o godzinie 15:25:52924 000,00złZobacz aktualne oferty"
3041,"Dom, Poznań, 134 m²Stan: Innyzakończona19 September 2024 o godzinie 12:55:471 099 000,00złZobacz aktualne oferty"
3042,"Biuro, Poznań, Ogrody, 145 m²Stan: Innyzakończona19 September 2024 o godzinie 10:38:277120,00złZobacz aktualne oferty"
3043,"Mieszkanie, Poznań, Piątkowo, 63 m²Stan: Innyzakończona19 September 2024 o godzinie 10:24:52530 000,00złZobacz aktualne oferty"
3044,"Mieszkanie, Poznań, Grunwald, 27 m²Stan: Innyzakończona19 September 2024 o godzinie 02:17:08350 000,00złZobacz aktualne oferty"
3045,"Mieszkanie, Poznań, Stare Miasto, 48 m²Stan: Innyzakończona19 September 2024 o godzinie 00:27:48559 000,00złZobacz aktualne oferty"
3046,"Mieszkanie, Poznań, Jeżyce, 65 m²Stan: Innyzakończona19 September 2024 o godzinie 00:08:47726 590,00złZobacz aktualne oferty"
3047,"Mieszkanie, Poznań, Grunwald, 44 m²Stan: Innyzakończona19 September 2024 o godzinie 00:07:59610 000,00złZobacz aktualne oferty"
3048,"Mieszkanie, Poznań, Wilda, 35 m²Stan: Innyzakończona18 September 2024 o godzinie 18:00:032300,00złZobacz aktualne oferty"
3049,"Mieszkanie, Poznań, Grunwald, 34 m²Stan: Innyzakończona18 September 2024 o godzinie 17:49:09549 000,00złZobacz aktualne oferty"
3050,"Dom, Poznań, Jeżyce, 148 m²Stan: Innyzakończona18 September 2024 o godzinie 17:09:401 450 000,00złZobacz aktualne oferty"
3051,"Mieszkanie, Poznań, 71 m²Stan: Innyzakończona18 September 2024 o godzinie 17:09:40619 618,00złZobacz aktualne oferty"
3052,"Mieszkanie, Poznań, Jeżyce, 35 m²Stan: Innyzakończona18 September 2024 o godzinie 16:29:36259 000,00złZobacz aktualne oferty"
3053,"Mieszkanie, Poznań, Stare Miasto, 56 m²Stan: Innyzakończona18 September 2024 o godzinie 16:16:183400,00złZobacz aktualne oferty"
3054,"Mieszkanie, Poznań, Wilda, 54 m²Stan: Innyzakończona18 September 2024 o godzinie 16:03:542400,00złZobacz aktualne oferty"
3055,"Dom, Poznań, Grunwald, 494 m²Stan: Innyzakończona18 September 2024 o godzinie 16:03:541 700 000,00złZobacz aktualne oferty"
3056,"Działka, Poznań, 769 m²Stan: Innyzakończona18 September 2024 o godzinie 15:38:10520 000,00złZobacz aktualne oferty"
3057,"Mieszkanie, Poznań, Piątkowo, 57 m²Stan: Innyzakończona18 September 2024 o godzinie 15:24:07627 000,00złZobacz aktualne oferty"
3058,"Mieszkanie, Poznań, Nowe Miasto, 20 m²Stan: Innyzakończona18 September 2024 o godzinie 14:42:591800,00złZobacz aktualne oferty"
3059,"Mieszkanie, Poznań, Piątkowo, 43 m²Stan: Innyzakończona18 September 2024 o godzinie 13:14:021650,00złZobacz aktualne oferty"
3060,"Mieszkanie, Poznań, Grunwald, 51 m²Stan: Innyzakończona18 September 2024 o godzinie 12:44:38567 000,00złZobacz aktualne oferty"
3061,"Mieszkanie, Poznań, 71 m²Stan: Innyzakończona18 September 2024 o godzinie 12:44:373900,00złZobacz aktualne oferty"
3062,"Mieszkanie, Poznań, Stare Miasto, 41 m²Stan: Innyzakończona18 September 2024 o godzinie 12:23:042700,00złZobacz aktualne oferty"
3063,"Mieszkanie, Poznań, 38 m²Stan: Innyzakończona18 September 2024 o godzinie 11:58:03560 000,00złZobacz aktualne oferty"
3064,"Mieszkanie, Poznań, Dębiec, 33 m²Stan: Innyzakończona18 September 2024 o godzinie 10:47:04369 000,00złZobacz aktualne oferty"
3065,"Dom mieszkalny PW House ""Stodoła"" Thermo - parter 120 m2 + poddasze 120 m2Stan: Innyzakończona18 September 2024 o godzinie 10:28:40480 000,00złZobacz aktualne oferty"
3066,"Mieszkanie, Poznań, Jeżyce, 73 m²Stan: Innyzakończona18 September 2024 o godzinie 10:24:18655 000,00złZobacz aktualne oferty"
3067,"Mieszkanie, Poznań, Naramowice, 64 m²Stan: Innyzakończona18 September 2024 o godzinie 09:59:56730 000,00złZobacz aktualne oferty"
3068,"Mieszkanie, Poznań, Rataje, 63 m²Stan: Innyzakończona18 September 2024 o godzinie 04:17:40570 000,00złZobacz aktualne oferty"
3069,"Mieszkanie, Poznań, Jeżyce, 102 m²Stan: Innyzakończona18 September 2024 o godzinie 00:10:041 620 000,00złZobacz aktualne oferty"
3070,"Mieszkanie, Poznań, Łazarz, 38 m²Stan: Innyzakończona18 September 2024 o godzinie 00:09:54415 000,00złZobacz aktualne oferty"
3071,"Mieszkanie, Poznań, Centrum, 62 m²Stan: Innyzakończona18 September 2024 o godzinie 00:09:46730 000,00złZobacz aktualne oferty"
3072,"Mieszkanie, Poznań, 35 m²Stan: Innyzakończona18 September 2024 o godzinie 00:09:071950,00złZobacz aktualne oferty"
3073,"Mieszkanie, Poznań, Centrum, 26 m²Stan: Innyzakończona18 September 2024 o godzinie 00:09:062600,00złZobacz aktualne oferty"
3074,"Działka, Poznań, 484 m²Stan: Innyzakończona17 September 2024 o godzinie 19:49:0569 000,00złZobacz aktualne oferty"
3075,"Mieszkanie, Poznań, Rataje, 44 m²Stan: Innyzakończona17 September 2024 o godzinie 19:49:05430 000,00złZobacz aktualne oferty"
3076,"Mieszkanie, Poznań, Górczyn, 45 m²Stan: Innyzakończona17 September 2024 o godzinie 16:20:392300,00złZobacz aktualne oferty"
3077,"Biuro, Poznań, Grunwald, 106 m²Stan: Innyzakończona17 September 2024 o godzinie 16:07:203180,00złZobacz aktualne oferty"
3078,"Mieszkanie, Poznań, 47 m²Stan: Innyzakończona17 September 2024 o godzinie 15:53:18542 440,00złZobacz aktualne oferty"
3079,"Mieszkanie, Poznań, Nowe Miasto, 41 m²Stan: Innyzakończona17 September 2024 o godzinie 15:53:17431 130,00złZobacz aktualne oferty"
3080,"Dom, Poznań, 172 m²Stan: Innyzakończona17 September 2024 o godzinie 15:53:171 300 000,00złZobacz aktualne oferty"
